Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,PracticeSport,IsFirstChild,NrSiblings,WklyStudyHours,MathScore,ReadingScore,WritingScore,AverageScore,Passed
female,group B,some high school,standard,completed,regularly,no,3.0,< 5,70,87,87,81.33333333333333,1
male,group E,,standard,completed,sometimes,yes,2.0,5 - 10,90,83,84,85.66666666666667,1
male,group C,associate's degree,standard,,sometimes,yes,4.0,< 5,81,89,81,83.66666666666667,1
female,group E,some high school,free/reduced,none,regularly,yes,0.0,5 - 10,55,57,55,55.666666666666664,1
male,group B,high school,free/reduced,completed,never,no,2.0,5 - 10,49,50,53,50.666666666666664,1
male,group B,some high school,standard,,regularly,yes,0.0,5 - 10,74,73,76,74.33333333333333,1
female,group B,associate's degree,standard,,sometimes,yes,1.0,< 5,62,71,76,69.66666666666667,1
male,group C,some college,standard,none,never,no,3.0,5 - 10,86,83,75,81.33333333333333,1
male,group A,bachelor's degree,standard,none,never,no,2.0,5 - 10,71,61,66,66.0,1
male,group D,some college,standard,none,sometimes,yes,1.0,,90,73,78,80.33333333333333,1
male,group C,,standard,none,regularly,yes,2.0,5 - 10,84,77,73,78.0,1
male,group C,bachelor's degree,free/reduced,none,sometimes,no,2.0,5 - 10,78,60,64,67.33333333333333,1
female,group B,some high school,free/reduced,none,sometimes,no,1.0,< 5,30,41,43,38.0,0
male,group D,high school,standard,none,regularly,no,2.0,5 - 10,56,54,53,54.333333333333336,1
male,group C,high school,standard,none,sometimes,no,1.0,5 - 10,85,75,71,77.0,1
male,group E,associate's degree,free/reduced,none,regularly,yes,3.0,< 5,59,59,55,57.666666666666664,1
female,group D,some high school,free/reduced,none,never,no,1.0,< 5,54,63,64,60.333333333333336,1
male,group D,associate's degree,standard,completed,regularly,no,1.0,> 10,100,100,100,100.0,1
male,group B,bachelor's degree,standard,none,regularly,no,3.0,> 10,63,54,52,56.333333333333336,1
female,group B,associate's degree,free/reduced,completed,regularly,yes,,> 10,71,75,77,74.33333333333333,1
female,group D,associate's degree,free/reduced,completed,sometimes,yes,0.0,5 - 10,63,87,82,77.33333333333333,1
male,group B,some college,standard,none,sometimes,no,2.0,5 - 10,81,86,81,82.66666666666667,1
male,group C,high school,standard,none,,no,1.0,5 - 10,45,34,38,39.0,0
female,group B,associate's degree,standard,none,sometimes,yes,1.0,5 - 10,52,64,55,57.0,1
female,group C,high school,free/reduced,completed,sometimes,,1.0,5 - 10,48,56,60,54.666666666666664,1
male,group E,high school,standard,,sometimes,yes,1.0,5 - 10,73,58,52,61.0,1
male,group C,master's degree,standard,none,sometimes,yes,0.0,> 10,93,91,90,91.33333333333333,1
female,group B,some high school,standard,completed,regularly,yes,1.0,< 5,67,81,85,77.66666666666667,1
male,,associate's degree,standard,none,regularly,yes,1.0,5 - 10,82,75,71,76.0,1
female,group B,bachelor's degree,free/reduced,none,regularly,no,3.0,< 5,54,61,67,60.666666666666664,1
female,group E,some high school,free/reduced,completed,sometimes,no,4.0,5 - 10,67,72,76,71.66666666666667,1
female,group D,high school,standard,completed,sometimes,no,3.0,5 - 10,73,87,86,82.0,1
female,group E,high school,free/reduced,completed,sometimes,yes,3.0,5 - 10,73,79,76,76.0,1
female,group B,some college,free/reduced,,regularly,yes,3.0,5 - 10,29,38,37,34.666666666666664,0
male,group A,some college,standard,none,sometimes,no,4.0,< 5,65,65,65,65.0,1
male,group D,bachelor's degree,standard,none,regularly,yes,4.0,5 - 10,100,87,86,91.0,1
male,group A,,standard,none,sometimes,yes,2.0,5 - 10,68,63,62,64.33333333333333,1
male,group D,some high school,free/reduced,,sometimes,no,3.0,> 10,43,42,41,42.0,0
female,group C,some college,free/reduced,,never,yes,0.0,> 10,54,60,65,59.666666666666664,1
female,group A,associate's degree,standard,none,regularly,no,3.0,> 10,73,85,87,81.66666666666667,1
female,group A,,free/reduced,none,sometimes,yes,3.0,5 - 10,50,67,71,62.666666666666664,1
male,group B,some college,free/reduced,none,sometimes,yes,0.0,< 5,50,55,48,51.0,1
male,group C,some high school,standard,completed,regularly,yes,2.0,> 10,79,77,79,78.33333333333333,1
male,group D,some high school,standard,none,regularly,yes,2.0,< 5,70,57,65,64.0,1
male,group B,bachelor's degree,standard,none,regularly,yes,3.0,> 10,100,84,88,90.66666666666667,1
male,group C,high school,standard,none,sometimes,,1.0,< 5,66,59,55,60.0,1
female,group D,associate's degree,free/reduced,none,regularly,yes,,> 10,68,73,72,71.0,1
male,group D,master's degree,standard,none,regularly,yes,3.0,5 - 10,83,78,72,77.66666666666667,1
female,group B,some high school,standard,none,never,yes,3.0,5 - 10,45,53,48,48.666666666666664,0
male,,high school,standard,none,never,no,3.0,,31,23,20,24.666666666666668,0
male,group D,associate's degree,standard,none,sometimes,yes,3.0,> 10,74,69,72,71.66666666666667,1
female,group D,,free/reduced,completed,regularly,yes,3.0,> 10,65,76,86,75.66666666666667,1
female,group D,master's degree,free/reduced,completed,regularly,yes,1.0,5 - 10,78,91,100,89.66666666666667,1
male,group A,associate's degree,standard,none,sometimes,no,2.0,< 5,46,42,48,45.333333333333336,0
female,group B,associate's degree,standard,,sometimes,yes,1.0,5 - 10,74,74,77,75.0,1
male,group D,some college,standard,,regularly,yes,3.0,5 - 10,77,70,70,72.33333333333333,1
male,group A,associate's degree,standard,none,never,no,,< 5,78,66,61,68.33333333333333,1
